Scyla Anfingrimm                                                       || 40mm
Valkia the Bloody                                                      || 32mm
Lord of Khorne on Juggernaut                                           || 90 x 52mm
Skarr Bloodwrath                                                       || 40mm
Skullmaster, Herald of Khorne                                          || 90 x 52mm
Garrek's Reavers                                                       || 32mm
Gorechosen of Dromm                                                    || 40mm
Magore's Fiends                                                        || 32mm
Kamandora's Blades                                                     || 32mm [2], 28.5mm [2]
