Mancrusher Gargant                                                     || 90 x 52mm
Mancrusher Mob                                                         || 90 x 52mm
Beast-smasher Mega-Gargant                                             || 130mm
Gatebreaker Mega-Gargant                                               || 130mm
King Brodd                                                             || 130mm
Kraken-eater Mega-Gargant                                              || 130mm
Warstomper Mega-Gargant                                                || 130mm
Kragnos, the End of Empires                                            || 130mm
Bonegrinder Mega-Gargant                                               || 120 x 92mm (Not listed in pdf)
